source_year,rank,list_title,book_url,source
1989,3,Alternate Cover Edition,http://www.goodreads.com/book/show/17229203-the-pillars-of-the-earth,Goodreads Popular by Year
1989,4,"A Time to Kill (Jake Brigance, #1)",https://www.goodreads.com/book/show/32542.A_Time_to_Kill,Goodreads Popular by Year
1989,5,The Joy Luck Club,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club,Goodreads Popular by Year
1989,6,Number the Stars,https://www.goodreads.com/book/show/47281.Number_the_Stars,Goodreads Popular by Year
1989,7,The Remains of the Day,https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day,Goodreads Popular by Year
1989,8,"Hyperion (Hyperion Cantos, #1)",https://www.goodreads.com/book/show/77566.Hyperion,Goodreads Popular by Year
1989,9,A Prayer for Owen Meany,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,Goodreads Popular by Year
1989,10,Like Water for Chocolate,https://www.goodreads.com/book/show/6952.Like_Water_for_Chocolate,Goodreads Popular by Year
1990,1,Good Omens,https://www.goodreads.com/book/show/12070.Good_Omens,Goodreads Popular by Year
1990,2,"Jurassic Park (Jurassic Park, #1)",https://www.goodreads.com/book/show/40604658-jurassic-park,Goodreads Popular by Year
1990,3,"The Eye of the World (Wheel of Time, #1)",https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,Goodreads Popular by Year
1990,4,The 5 Love Languages: The Secret to Love That Lasts,https://www.goodreads.com/book/show/23878688-the-5-love-languages,Goodreads Popular by Year
1990,5,"Oh, the Places You’ll Go!",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,Goodreads Popular by Year
1990,6,'Cat in the Hat',https://www.goodreads.com/book/show/233093._Cat_in_the_Hat_,Goodreads Popular by Year
1990,7,The Things They Carried,https://www.goodreads.com/book/show/133518.The_Things_They_Carried,Goodreads Popular by Year
1990,8,V for Vendetta,https://www.goodreads.com/book/show/5805.V_for_Vendetta,Goodreads Popular by Year
1990,9,"The Great Hunt (Wheel of Time, #2)",https://www.goodreads.com/book/show/233649.The_Great_Hunt,Goodreads Popular by Year
1990,10,"Postmortem (Kay Scarpetta, #1)",https://www.goodreads.com/book/show/6534.Postmortem,Goodreads Popular by Year
1991,1,"Outlander (Outlander, #1)",https://www.goodreads.com/book/show/10964.Outlander,Goodreads Popular by Year
1991,2,American Psycho,https://www.goodreads.com/book/show/28676.American_Psycho,Goodreads Popular by Year
1991,3,Sophie’s World,https://www.goodreads.com/book/show/10959.Sophie_s_World,Goodreads Popular by Year
1991,4,Redeeming Love,https://www.goodreads.com/book/show/11422.Redeeming_Love,Goodreads Popular by Year
1991,5,"The Dragon Reborn (Wheel of Time, #3)",https://www.goodreads.com/book/show/34897.The_Dragon_Reborn,Goodreads Popular by Year
1991,6,Needful Things,https://www.goodreads.com/book/show/107291.Needful_Things,Goodreads Popular by Year
