source_year,rank,list_title,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,published_date,language,publisher,isbn,edition_count,book_url,image_url,source
1902,,,The Grand Babylon Hotel,Arnold Bennett,4.0,1.0,,,"Classic Literature, Fiction, Fiction, mystery & detective, general, London (england), fiction, Fiction, general, Hotels, Hotelkeepers, Cosmopolitanism, British and irish fiction (fictional works by one author), London (England) -- Fiction",,1902,eng,"Chatto & Windus, Penguin Classics, Classic Books, Echo Library, Standard Ebooks",1021738069,75,https://openlibrary.org/works/OL109153W,https://covers.openlibrary.org/b/id/6132684-M.jpg,Open Library API
1903,,,The Call of the Wild,Jack London,3.949367,79.0,,,"Gold discoveries, Bienestar, Lobos, Descubrimiento de oro, Crítica e interpretación, American Nature stories, Cartoons and comics, Feral dogs, Robo de mascotas, Pet theft",,1903,"dut, heb, ita, ara, spa, alb, gle, kor, yid, por, fin, ger, eng, swe, fre, chi","Xi dai shu ban gu fen you xian gong si, Nelson-Hall, Synchronista LLC, Saddleback Educational Publishing, Incorporated, Bohlin & Co.",9781467746021,1700,https://openlibrary.org/works/OL14942956W,https://covers.openlibrary.org/b/id/12393037-M.jpg,Open Library API
1903,,,The Phoenix and the Carpet,Edith Nesbit,3.1,10.0,,,"English Fantasy fiction, Magic, Brothers and sisters, Juvenile fiction, Great Britain in fiction, Magic in fiction, Fiction, Brothers and sisters in fiction, Phoenix (Mythical bird), Mythical Animals",,1903,"eng, ger","Wordsworth Editions Ltd, Little, Brown Book Group Limited, Wordsworth Classics, Cecilie Dressler, West Margin Press",9781444833386,438,https://openlibrary.org/works/OL99539W,https://covers.openlibrary.org/b/id/902122-M.jpg,Open Library API
1903,,,The Return of Sherlock Holmes,Arthur Conan Doyle,4.2727275,33.0,,,"air guns, Americans, anise, anonymity, attempted murder, baritsu, blackmail, broughams, burglary, busts",,1903,"ger, eng, tur, jpn, spa, swe, chi, fre","The Sun Dial Press, Alianza Editorial Sa, Schocken Books, Claridad, MAXTOR",9781412161473,545,https://openlibrary.org/works/OL262477W,https://covers.openlibrary.org/b/id/9246467-M.jpg,Open Library API
1903,,,The Riddle of the Sands,Erskine Childers,3.75,4.0,,,"Great britain, fiction, Fiction, action & adventure, Fiction, thrillers, espionage, Fiction, alternative history, Fiction, sea stories, Large type books, Fiction, Invasions, History, Secret service",,1903,"chi, eng, spa, ger, und","Sidgwick & Jackson, ReadaClassic.com, Penguin Books, Limited, Charles E. Lauriat Company, Sidgwick & Jackson in association with New English Library",9798493837876,532,https://openlibrary.org/works/OL23797W,https://covers.openlibrary.org/b/id/2293974-M.jpg,Open Library API
1903,,,The Tale of Squirrel Nutkin,"Beatrix Potter, Wendy Rasmussen, H y Xiao Phd",3.7777777,9.0,,,"Squirrels, Fiction, Children's fiction, Squirrels, fiction, Juvenile fiction, Rabbits, Owls, Animals, Rabbits, fiction, Forests and forestry, fiction",,1903,"jpn, eng, fre","Child's World, Incorporated, The, Pavilion Press, Frederick Warne in association with Gallimard, Penguin Group, French & European Pubns",1602532966,64,https://openlibrary.org/works/OL8393099W,https://covers.openlibrary.org/b/id/10028056-M.jpg,Open Library API
1903,,,The Ambassadors,Henry James,4.25,8.0,,,"Man-woman relationships, Fiction, Romance, Americans, Historical Fiction, Young men, Classic Literature, Ambassadors (James, Henry), James, henry, 1843-1916, American fiction (fictional works by one author)",,1903,"fre, spa, eng, chi","Dent Dutton, Harvard University Press, J M Dent & Sons Ltd, Houghton Mifflin, HERON BOOKS",0192836471,231,https://openlibrary.org/works/OL276470W,https://covers.openlibrary.org/b/id/313610-M.jpg,Open Library API
1903,,,The Tailor of Gloucester,"Beatrix Potter, H y Xiao Phd",4.0,5.0,,,"Cats, Children's stories, English, Christmas, Christmas stories, Ficción juvenil, Fiction, Juvenile fiction, Mice, Ratones, Tailors",,1903,"ita, spa, wel, eng, fre","Debate, Franklin Classics, Frederick Warne & Co., Ltd, Little Simon, Colour Library Direct",0887080804,70,https://openlibrary.org/works/OL108770W,https://covers.openlibrary.org/b/id/459377-M.jpg,Open Library API
1903,,,The Pit,Frank Norris,,,,,"Fiction, Married people, Wheat trade, Economic conditions, American fiction (fictional works by one author), Marriage, fiction, Chicago (ill.), fiction, Married people, fiction, Fiction, psychological, Fiction, family life, general",,1903,"urd, eng, jpn, rus, ger","Pixabay, Dodo Press, Createspace Independent Publishing Platform, Creative Media Partners, LLC, A. Wessels",9781517406554,291,https://openlibrary.org/works/OL1794919W,https://covers.openlibrary.org/b/id/8244629-M.jpg,Open Library API
1903,,,The Enchanted Island of Yew,L. Frank Baum,4.0,1.0,,,"Fantasy, Fiction, Juvenile Fiction, Classic Literature, Children's fiction, Fantasy fiction, Adventure stories",,1903,eng,"BiblioBazaar, Independently Published, Wonder Publishing, Books of Wonder, eBooksLib",9798570041868,288,https://openlibrary.org/works/OL262388W,https://covers.openlibrary.org/b/id/1755697-M.jpg,Open Library API
1903,,,The Crimson Fairy Book,Andrew Lang,,,,,"Fairy tales, Folklore, Fiction, fantasy, general, Children's stories, Fantasy fiction, Folklore, juvenile literature, Fiction, short stories (single author), Children's fiction, Fairies, fiction, Tales",,1903,"spa, eng","Start Publishing LLC, Aberdeen Press, Tandem Library, Neoperson Ediciones, Viking Children's Books",1688752617,510,https://openlibrary.org/works/OL1088783W,https://covers.openlibrary.org/b/id/7113496-M.jpg,Open Library API
1904,,,The Marvelous Land of Oz,L. Frank Baum,3.368421,19.0,,,"Children's stories, American, Juvenile fiction, Translations into Russian, Children's literature, English, Children's literature, Russian, Oz (Imaginary place), Wizards, Fantasy, Children's fiction, Oz (imaginary place), fiction",,1904,"heb, eng, rus, alb, chi, ara","Peter Smith Publisher Inc, Sunflower Press, Blurb, IndyPublish, Cathay Books",9798489756938,724,https://openlibrary.org/works/OL18396W,https://covers.openlibrary.org/b/id/12648656-M.jpg,Open Library API
1904,,,The Napoleon of Notting Hill,Gilbert Keith Chesterton,4.571429,7.0,,,"Fiction, Classic Literature, Science Fiction, Politics and government, English fiction, Political fiction, Fantastic fiction, London (england), fiction, British and irish fiction (fictional works by one author), Fiction, political",,1904,"eng, spa, rus, ita, por, jpn","Classic Books Library, Oxford University Press, Amfora, Blurb, John Lane",146371842X,454,https://openlibrary.org/works/OL76473W,https://covers.openlibrary.org/b/id/6980094-M.jpg,Open Library API
1904,,,The Tale of Benjamin Bunny,"Beatrix Potter, Wendy Rasmussen",4.125,8.0,,,"Rabbits, fiction, Children's fiction, Rabbits, Fiction, Juvenile fiction, Children's literature, Welsh, Toy and movable books, Children's stories, English, Spanish language, readers, Picture books",,1904,"fre, wel, eng, spa, ger, dan, swe, jpn, ita","Merrimack Publishing Corporation, Gyldendal, Distributed by Outlet Book Co., Diogenes Verlag AG,Switzerland, The Child's World, Inc",9798734842997,92,https://openlibrary.org/works/OL22156524W,https://covers.openlibrary.org/b/id/10447931-M.jpg,Open Library API
